package,app_name,apk,target_sdk,min_sdk,debuggable,backup,system,cleartext,installer,perm_count,danger_perm_count,exp_act_count,exp_serv_count,exp_recv_count,exp_prov_count,permissions,dangerous_permissions,activities,services,receivers,providers
"com.google.android.networkstack.tethering","Tethering","/apex/com.android.tethering/priv-app/TetheringGoogle@371021120/TetheringGoogle.apk",37,31,0,1,1,1,"",18,1,0,1,0,0,"android.permission.WRITE_SETTINGS;android.permission.POST_NOTIFICATIONS;android.permission.CHANGE_NETWORK_STATE;android.permission.BLUETOOTH_CONNECT;android.permission.BLUETOOTH;android.permission.UPDATE_DEVICE_STATS;android.permission.MANAGE_USB;android.permission.TETHER_PRIVILEGED;android.permission.READ_PHONE_STATE;android.permission.BROADCAST_STICKY;android.permission.BLUETOOTH_PRIVILEGED;android.permission.MANAGE_USERS;android.permission.ACCESS_NETWORK_STATE;android.permission.INTERACT_ACROSS_USERS;android.permission.READ_NETWORK_USAGE_HISTORY;android.permission.MODIFY_PHONE_STATE;android.permission.READ_DEVICE_CONFIG;android.permission.UPDATE_APP_OPS_STATS","android.permission.READ_PHONE_STATE","","com.android.networkstack.tethering.TetheringService","",""
"com.samsung.android.provider.filterprovider","Filter Provider","/system/app/FilterProvider/FilterProvider.apk",35,28,0,0,1,0,"",10,0,0,3,4,1,"android.permission.RECEIVE_BOOT_COMPLETED;android.permission.WRITE_MEDIA_STORAGE;com.samsung.android.provider.filterprovider.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.INTERNET;android.permission.GET_INTENT_SENDER_INTENT;android.permission.READ_EXTERNAL_STORAGE;android.permission.INTERACT_ACROSS_USERS_FULL;com.samsung.sea.retailagent.permission.RETAILMODE;android.permission.REQUEST_DELETE_PACKAGES;android.permission.WRITE_EXTERNAL_STORAGE","","","com.samsung.android.provider.filterprovider.FilterProviderService;com.samsung.android.provider.filterprovider.MyFilterService;com.samsung.android.provider.filterprovider.quickshare.QuickShareService","com.samsung.android.provider.filterprovider.BootCompleteReceiver;com.samsung.android.provider.filterprovider.PackageIntentReceiver;com.samsung.android.provider.filterprovider.receiver.DemoResetReceiver;androidx.profileinstaller.ProfileInstallReceiver","com.samsung.android.provider.filterprovider.FilterProvider"
"com.samsung.android.mydevice","Nearby devices","/data/app/~~pGRdqfps-ZfcId6x9AWinA==/com.samsung.android.mydevice-OKlDJlz5IZ6TfJYi_VTnJA==/base.apk",35,35,0,0,1,0,"com.sec.android.app.samsungapps",43,1,4,1,1,0,"android.permission.READ_WALLPAPER_INTERNAL;android.permission.CONFIGURE_WIFI_DISPLAY;com.samsung.android.app.sharelive.linkshare.sdk.permission;android.permission.ACCESS_FINE_LOCATION;com.samsung.android.permission.READ_SCPM;com.samsung.android.app.sharelive.sdk.WRITE_PROVIDER;com.samsung.android.sharelive.permission.SHARE_LIVE_UPDATE;android.permission.MANAGE_WIFI_INTERFACES;com.samsung.android.app.simplesharing.sdk.permission;android.permission.NEARBY_WIFI_DEVICES;android.permission.BLUETOOTH_CONNECT;com.samsung.android.smartmirroring.READ;android.permission.INTERNET;com.samsung.android.app.sharelive.sdk.READ_PROVIDER;android.permission.REORDER_TASKS;com.samsung.android.samsungaccount.permission.PROFILE_PROVIDER;com.samsung.android.app.find.permission.LBA;com.samsung.android.hostmanager.permission.ACCESS_UNIFIED_HOST_MANAGER;com.samsung.android.mcfds.permission.START_SERVICE;android.permission.INTERACT_ACROSS_USERS_FULL;android.permission.WRITE_SECURE_SETTINGS;com.samsung.android.permission.MULTI_CONTROL_RECEIVER_PERMISSION;android.permission.ACCESS_COARSE_LOCATION;android.permission.BLUETOOTH_PRIVILEGED;android.permission.CHANGE_WIFI_STATE;com.samsung.android.smartmirroring.API;android.permission.ACCESS_NETWORK_STATE;com.samsung.android.mcfds.permission.USE_SAMSUNG_ANALYTICS_LOGGER;com.samsung.android.permission.WRITE_SCPM;com.samsung.android.fme.WEARABLE.permission.READ2;com.samsung.android.companionservice.permission.ACCESS_CMC_SETTING_SERVICE;com.samsung.android.sharelive.permission.CONTENT_PICKER;android.permission.BLUETOOTH_ADVERTISE;com.samsung.bluetooth.permission.BLUETOOTH_DEVICE;com.samsung.android.companionservice.permission.CONNECTION_INFO;com.samsung.android.permission.SEM_BATTERY_INFO;com.samsung.android.mydevice.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.ACCESS_WIFI_STATE;android.permission.MODIFY_PHONE_STATE;android.permission.QUERY_ALL_PACKAGES;com.samsung.android.mcfds.permission.ACCESS_SERVICE;android.permission.BLUETOOTH_SCAN;com.samsung.permission.READ_SM_DATA","android.permission.ACCESS_FINE_LOCATION","com.samsung.android.mydevice.ui.MyDevicesMain;androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity;androidx.test.core.app.InstrumentationActivityInvoker$EmptyActivity;androidx.test.core.app.InstrumentationActivityInvoker$EmptyFloatingActivity","com.samsung.android.mydevice.quicksettings.MyDeviceTileService","androidx.profileinstaller.ProfileInstallReceiver",""
"com.factory.mmigroup","MMIGroup","/system_ext/app/MMIGroup_NoIcon/MMIGroup_NoIcon.apk",35,36,0,0,1,0,"",29,4,0,0,1,0,"android.permission.ACCESS_FINE_LOCATION;android.permission.RESTART_PACKAGES;android.permission.MODIFY_AUDIO_SETTINGS;android.permission.ACCESS_MOCK_LOCATION;android.permission.NFC;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.BLUETOOTH;android.permission.CAPTURE_AUDIO_HOTWORD;android.permission.INTERNET;android.permission.ACCESS_BROADCAST_RADIO;android.permission.BLUETOOTH_ADMIN;android.permission.READ_EXTERNAL_STORAGE;android.permission.ACCESS_COARSE_LOCATION;android.permission.READ_PHONE_STATE;android.permission.ACCESS_LOCATION_EXTRA_COMMANDS;android.permission.CHANGE_WIFI_STATE;android.permission.FLASHLIGHT;android.permission.ACCESS_NETWORK_STATE;android.permission.DISABLE_KEYGUARD;android.permission.CAMERA;android.permission.CHANGE_CONFIGURATION;android.permission.KILL_BACKGROUND_PROCESSES;android.permission.USE_FINGERPRINT;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.VIBRATE;android.permission.ACCESS_WIFI_STATE;android.permission.CONTROL_INCALL_EXPERIENCE;android.permission.RECORD_AUDIO;android.permission.WAKE_LOCK","android.permission.ACCESS_FINE_LOCATION;android.permission.READ_PHONE_STATE;android.permission.CAMERA;android.permission.RECORD_AUDIO","","","com.factory.mmigroup.MMIGroupReceiver",""
"com.whatsapp.w4b","WhatsApp Business","/data/app/~~__lUQan6QWd-28iJj1uSfw==/com.whatsapp.w4b-V2M1_o4_VuajsgXJGTjwpA==/base.apk",36,21,0,1,0,0,"com.android.vending",84,7,32,11,18,3,"android.permission.FOREGROUND_SERVICE_CAMERA;com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE;com.sonyericsson.home.permission.BROADCAST_BADGE;android.permission.POST_NOTIFICATIONS;android.permission.READ_CALL_LOG;com.google.android.c2dm.permission.RECEIVE;android.permission.ACCESS_FINE_LOCATION;android.permission.USE_CREDENTIALS;android.permission.MODIFY_AUDIO_SETTINGS;com.google.android.providers.gsf.permission.READ_GSERVICES;android.permission.ANSWER_PHONE_CALLS;android.permission.MANAGE_ACCOUNTS;android.permission.DETECT_SCREEN_CAPTURE;android.permission.NFC;com.sec.android.provider.badge.permission.READ;android.permission.READ_PHONE_NUMBERS;android.permission.CHANGE_NETWORK_STATE;android.permission.FOREGROUND_SERVICE;android.permission.READ_MEDIA_VISUAL_USER_SELECTED;android.permission.WRITE_SYNC_SETTINGS;com.huawei.android.launcher.permission.WRITE_SETTINGS;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.NEARBY_WIFI_DEVICES;android.permission.FOREGROUND_SERVICE_LOCATION;com.android.launcher.permission.UNINSTALL_SHORTCUT;android.permission.BLUETOOTH_CONNECT;android.permission.READ_PROFILE;android.permission.GET_TASKS;android.permission.AUTHENTICATE_ACCOUNTS;com.facebook.services.identity.FEO2;android.permission.INTERNET;com.android.vending.BILLING;android.permission.READ_EXTERNAL_STORAGE;android.permission.ACCESS_COARSE_LOCATION;android.permission.READ_PHONE_STATE;android.permission.USE_FULL_SCREEN_INTENT;com.whatsapp.w4b.permission.MAPS_RECEIVE;android.permission.SEND_SMS;android.permission.BROADCAST_STICKY;com.whatsapp.w4b.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.CALL_PHONE;android.permission.READ_MEDIA_IMAGES;android.permission.WRITE_CONTACTS;com.whatsapp.permission.REGISTRATION;android.permission.CHANGE_WIFI_STATE;android.permission.FOREGROUND_SERVICE_DATA_SYNC;android.permission.ACCESS_NETWORK_STATE;android.permission.RUN_USER_INITIATED_JOBS;android.permission.CAMERA;com.sonymobile.home.permission.PROVIDER_INSERT_BADGE;com.huawei.android.launcher.permission.READ_SETTINGS;android.permission.READ_MEDIA_AUDIO;android.permission.READ_MEDIA_VIDEO;android.permission.USE_FINGERPRINT;com.sec.android.provider.badge.permission.WRITE;android.permission.READ_BASIC_PHONE_STATE;android.permission.READ_SYNC_STATS;android.permission.MANAGE_OWN_CALLS;android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION;android.permission.FOREGROUND_SERVICE_MICROPHONE;android.permission.SCHEDULE_EXACT_ALARM;com.whatsapp.w4b.permission.BROADCAST;android.permission.READ_SYNC_SETTINGS;com.whatsapp.permission.MIGRATION_CONTENT_PROVIDER;android.permission.GET_ACCOUNTS;android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK;android.permission.DETECT_SCREEN_RECORDING;com.whatsapp.sticker.READ;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.VIBRATE;com.huawei.android.launcher.permission.CHANGE_BADGE;android.permission.ACCESS_WIFI_STATE;android.permission.USE_BIOMETRIC;com.htc.launcher.permission.UPDATE_SHORTCUT;android.permission.INSTALL_SHORTCUT;android.permission.REQUEST_INSTALL_PACKAGES;com.android.launcher.permission.INSTALL_SHORTCUT;android.permission.RECORD_AUDIO;com.google.android.gms.permission.AD_ID;com.htc.launcher.permission.READ_SETTINGS;android.permission.WAKE_LOCK;android.permission.READ_CONTACTS;android.permission.FOREGROUND_SERVICE_PHONE_CALL;android.permission.ACCESS_MEDIA_LOCATION","android.permission.READ_CALL_LOG;android.permission.ACCESS_FINE_LOCATION;android.permission.READ_PHONE_STATE;android.permission.WRITE_CONTACTS;android.permission.CAMERA;android.permission.RECORD_AUDIO;android.permission.READ_CONTACTS","com.whatsapp.accountsync.ProfileActivity;com.whatsapp.accountsync.CallContactLandingActivity;com.whatsapp.authentication.AppAuthenticationActivity;com.whatsapp.cuif.ConsentActivity;com.meta.foa.deeplink.FoaDeeplinkActivityAliasUniversalLink;com.meta.foa.deeplink.FoaDeeplinkActivityAliasAppScheme;com.whatsapp.TextAndDirectChatDeepLink;com.whatsapp.VerifyOtpDeepLink;com.whatsapp.home.ui.HomeActivity;com.whatsapp.AcceptInviteLinkActivityDeepLink;com.whatsapp.EventDeepLink;com.whatsapp.HomeActivity;com.whatsapp.Main;com.whatsapp.identity.ui.IdentityVerificationActivity;com.whatsapp.voicemessaging.productinfra.VoiceMessagingActivity;com.whatsapp.VoiceMessagingActivity;com.whatsapp.maiba.smb.connections.oauth.MaibaMembraneOauthRoutingActivity;com.whatsapp.Conversation;com.whatsapp.calling.ui.SystemDialerCallLandingActivity;com.whatsapp.contact.ui.picker.ContactPicker;com.whatsapp.contact.ui.picker.ExternalShareAlias;com.whatsapp.settings.ui.SettingsNotifications;com.whatsapp.settings.SettingsNotifications;com.whatsapp.settings.ui.SettingsDataUsageActivity;com.whatsapp.settings.SettingsDataUsageActivity;com.whatsapp.SetAsProfilePhoto;com.whatsapp.stickers.ui.thirdpartystickers.AddThirdPartyStickerPackActivity;com.whatsapp.stickers.thirdpartystickers.AddThirdPartyStickerPackActivity;com.whatsapp.fbusers.smb.weblogin.WebLoginResultHandlerActivity;com.whatsapp.instrumentation.product.ui.InstrumentationAuthActivity;com.whatsapp.instrumentation.ui.InstrumentationAuthActivity;com.whatsapp.instrumentation.product.ui.WhatsAppBugReportingBridgeActivity","com.google.android.gms.nearby.exposurenotification.WakeUpService;com.whatsapp.backup.google.integration.impl.BackupNowService;com.whatsapp.backup.google.integration.impl.BackupStateService;com.whatsapp.migration.crossplat.android.integration.service.OsMigrationAppDataService;com.whatsapp.contact.ui.sync.ContactsSyncAdapterService;com.whatsapp.companiondevice.tethered.TetheredService;com.whatsapp.instrumentation.product.api.InstrumentationService;androidx.core.telecom.internal.JetpackConnectionService;androidx.sharetarget.ChooserTargetServiceCompat;androidx.work.impl.background.systemjob.SystemJobService;com.google.android.gms.auth.api.signin.RevocationBoundService","com.whatsapp.otpmessage.otp.OtpRequestedReceiver;com.whatsapp.otpmessage.otp.OtpIdentityHashRequestedReceiver;com.whatsapp.migration.android.api.DeferredRestoreBroadcastReceiver;com.whatsapp.registration.app.verifyphone.SMSRetrieverAppInactiveReceiver;com.whatsapp.registration.ui.RegistrationCompletedReceiver;androidx.core.telecom.internal.MuteStateReceiver;com.whatsapp.registration.directmigration.MigrationProviderOrderedBroadcastReceiver;com.whatsapp.registration.directmigration.MigrationRequesterBroadcastReceiver;com.whatsapp.appwidget.WidgetProvider;com.whatsapp.media.ExternalMediaManager$ExternalMediaStateReceiver;com.whatsapp.infra.push.WAFbnsPreloadReceiver;com.google.firebase.iid.FirebaseInstanceIdReceiver;com.whatsapp.registration.core.accounttransfer.AccountTransferReceiver;com.whatsapp.phoneid.PhoneIdRequestReceiver;com.whatsapp.infra.systemreceivers.boot.BootReceiver;com.whatsapp.infra.systemreceivers.appupdated.AppUpdatedReceiver;androidx.work.impl.diagnostics.DiagnosticsReceiver;androidx.profileinstaller.ProfileInstallReceiver","com.whatsapp.accesslibraryprovider.provider.FamilyAppsUserValuesProvider;com.whatsapp.stickers.ui.storage.WhitelistPackQueryContentProvider;com.whatsapp.registration.directmigration.DirectMigrationContentProvider"
"com.android.cts.priv.ctsshim","com.android.cts.priv.ctsshim","/apex/com.android.apex.cts.shim/priv-app/CtsShimPriv@MAIN/CtsShimPriv.apk",28,24,0,1,1,0,"",1,0,12,0,0,0,"android.permission.POST_NOTIFICATIONS","","com.android.cts.priv.ctsshim.InstallPriority;com.android.cts.priv.ctsshim.UpgradeMatch;com.android.cts.priv.ctsshim.UpgradeMatchMultiple;com.android.cts.priv.ctsshim.UpgradeLowerPriority;com.android.cts.priv.ctsshim.UpgradeActionSubset;com.android.cts.priv.ctsshim.UpgradeCategorySubset;com.android.cts.priv.ctsshim.UpgradeSchemeSubset;com.android.cts.priv.ctsshim.UpgradeAuthoritySubset;com.android.cts.priv.ctsshim.UpgradeNewAction;com.android.cts.priv.ctsshim.UpgradeNewCategory;com.android.cts.priv.ctsshim.UpgradeNewScheme;com.android.cts.priv.ctsshim.UpgradeNewAuthority","","",""
"com.samsung.android.smartswitchassistant","com.samsung.android.smartswitchassistant","/system/priv-app/SmartSwitchAssistant/SmartSwitchAssistant.apk",36,28,0,0,1,0,"",2,0,0,2,0,0,"android.permission.READ_PRIVILEGED_PHONE_STATE;android.permission.REBOOT","","","com.samsung.android.smartswitchassistant.SmartSwitchAssistantService;com.samsung.android.Kies.KiesGetSetService","",""
"com.sec.vsim.ericssonnsds.webapp","NSDSWebApp","/system/priv-app/NSDSWebApp/NSDSWebApp.apk",36,35,0,0,1,0,"",1,0,2,0,0,0,"android.permission.INTERNET","","com.sec.vsim.ericssonnsds.webapp.UnifiedWfcLocAndTCActivity;com.sec.vsim.ericssonnsds.webapp.SntModeLocAndTCActivity","","",""
"com.sec.android.app.setupwizardlegalprovider","SetupWizardLegalProvider","/system/app/SetupWizardLegalProvider/SetupWizardLegalProvider.apk",36,33,0,1,1,0,"",0,0,0,0,0,1,"","","","","","com.sec.android.app.setupwizardlegalprovider.DocumentProvider"
"com.google.android.youtube","YouTube","/data/app/~~m8WEH8mWAOvwY5q-RxF29w==/com.google.android.youtube-_SdhkqlstrKO9zyXJ3KINg==/base.apk",37,32,0,1,1,0,"com.android.vending",51,5,25,2,8,0,"android.permission.FOREGROUND_SERVICE_CAMERA;com.sonyericsson.home.permission.BROADCAST_BADGE;android.permission.POST_NOTIFICATIONS;com.google.android.c2dm.permission.RECEIVE;android.permission.ACCESS_FINE_LOCATION;android.permission.MODIFY_AUDIO_SETTINGS;com.google.android.providers.gsf.permission.READ_GSERVICES;com.google.android.youtube.permission.C2D_MESSAGE;android.permission.ACCESS_LOCAL_NETWORK;android.permission.SYSTEM_ALERT_WINDOW;android.permission.DETECT_SCREEN_CAPTURE;android.permission.NFC;com.sec.android.provider.badge.permission.READ;android.permission.FOREGROUND_SERVICE;android.permission.READ_MEDIA_VISUAL_USER_SELECTED;android.permission.RECEIVE_BOOT_COMPLETED;android.permission.HIGH_SAMPLING_RATE_SENSORS;android.permission.ACCESS_ADSERVICES_AD_ID;com.google.android.gms.permission.AD_ID_NOTIFICATION;android.permission.INTERNET;com.android.vending.BILLING;android.permission.READ_EXTERNAL_STORAGE;android.permission.GET_PACKAGE_SIZE;android.permission.ACCESS_COARSE_LOCATION;android.permission.READ_PHONE_STATE;android.permission.READ_MEDIA_IMAGES;android.permission.FOREGROUND_SERVICE_DATA_SYNC;android.permission.ACCESS_NETWORK_STATE;android.permission.RUN_USER_INITIATED_JOBS;android.permission.CAMERA;com.sonymobile.home.permission.PROVIDER_INSERT_BADGE;com.google.android.youtube.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION;android.permission.ACCESS_ADSERVICES_ATTRIBUTION;android.permission.READ_MEDIA_VIDEO;android.permission.USE_FINGERPRINT;com.sec.android.provider.badge.permission.WRITE;android.permission.FOREGROUND_SERVICE_MEDIA_PROJECTION;android.permission.FOREGROUND_SERVICE_MICROPHONE;android.permission.MANAGE_DOCUMENTS;android.permission.GET_ACCOUNTS;android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK;android.permission.WRITE_EXTERNAL_STORAGE;android.permission.VIBRATE;android.permission.ACCESS_WIFI_STATE;android.permission.USE_BIOMETRIC;com.htc.launcher.permission.UPDATE_SHORTCUT;android.permission.RECORD_AUDIO;com.google.android.gms.permission.AD_ID;com.htc.launcher.permission.READ_SETTINGS;android.permission.WAKE_LOCK;android.permission.READ_CONTACTS","android.permission.ACCESS_FINE_LOCATION;android.permission.READ_PHONE_STATE;android.permission.CAMERA;android.permission.RECORD_AUDIO;android.permission.READ_CONTACTS","com.google.android.libraries.accountlinking.activity.AccountLinkingActivity;com.google.android.apps.youtube.app.application.Shell_UrlActivity;com.google.android.apps.youtube.app.application.Shell$UrlActivity;com.google.android.youtube.UrlActivity;com.google.android.apps.youtube.app.application.Shell_ResultsActivity;com.google.android.apps.youtube.app.application.Shell$ResultsActivity;com.google.android.apps.youtube.app.application.Shell_MediaSearchActivity;com.google.android.apps.youtube.app.application.Shell$MediaSearchActivity;com.google.android.apps.youtube.app.application.Shell_UploadActivity;com.google.android.youtube.UploadIntentHandlingActivity;com.google.android.apps.youtube.app.application.Shell$UploadActivity;com.google.android.apps.youtube.app.application.Shell_MultipleUploadsActivity;com.google.android.apps.youtube.app.application.Shell_LiveCreationActivity;com.google.android.apps.youtube.app.application.Shell$LiveCreationActivity;com.google.android.apps.youtube.app.application.Shell_SettingsActivity;com.google.android.apps.youtube.app.application.Shell$SettingsActivity;com.google.android.youtube.ManageNetworkUsageActivity;com.google.android.apps.youtube.app.application.Shell_HomeActivity;com.google.android.youtube.HomeActivity;com.google.android.youtube.app.application.Shell$HomeActivity;com.google.android.youtube.app.honeycomb.Shell$HomeActivity;com.google.android.apps.youtube.app.watchwhile.WatchWhileActivity;com.google.android.apps.youtube.app.WatchWhileActivity;com.google.android.libraries.social.licenses.LicenseMenuActivity;com.google.cardboard.sdk.HeadsetDetectionActivity","com.google.android.apps.youtube.app.extensions.mediabrowser.impl.MainAppMediaBrowserService;androidx.work.impl.background.systemjob.SystemJobService","com.google.android.libraries.youtube.player.ui.mediasession.MediaButtonIntentReceiverProvider$DefaultMediaButtonIntentReceiver;com.google.android.apps.youtube.app.application.backup.PackageReplacedReceiver;com.google.android.libraries.phenotype.client.stable.AccountRemovedBroadcastReceiver;com.google.android.libraries.phenotype.client.stable.PhenotypeUpdateBackgroundBroadcastReceiver;com.google.android.libraries.youtube.account.service.AccountsChangedReceiver;com.google.android.libraries.youtube.common.locale.LocaleChangedBroadcastReceiver;com.google.firebase.iid.FirebaseInstanceIdReceiver;androidx.work.impl.diagnostics.DiagnosticsReceiver",""
