perm_count,danger_perm,exp_act,exp_serv,exp_recv,exp_prov,debuggable,backup,system,cleartext,target_sdk,min_sdk,sms,location,contacts,mic,camera,label
18,1,0,1,0,0,0,1,1,1,37,31,0,0,0,0,0,0
10,0,0,3,4,1,0,0,1,0,35,28,0,0,0,0,0,0
43,1,4,1,1,0,0,0,1,0,35,35,0,1,0,0,0,0
29,4,0,0,1,0,0,0,1,0,35,36,0,1,0,1,1,0
84,7,32,11,18,3,0,1,0,0,36,21,0,1,1,1,1,1
1,0,12,0,0,0,0,1,1,0,28,24,0,0,0,0,0,0
2,0,0,2,0,0,0,0,1,0,36,28,0,0,0,0,0,0
1,0,2,0,0,0,0,0,1,0,36,35,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,36,33,0,0,0,0,0,0
51,5,25,2,8,0,0,1,1,0,37,32,0,1,1,1,1,1
20,1,0,0,0,0,0,0,1,0,35,35,0,1,0,0,0,0
0,0,1,0,0,0,0,1,1,1,36,33,0,0,0,0,0,0
64,0,0,0,0,0,0,0,1,0,37,24,0,0,0,0,0,0
0,0,0,0,1,1,0,1,1,0,35,23,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
14,0,0,9,3,0,0,1,1,0,37,31,0,0,0,0,0,0
6,0,0,1,0,0,0,1,1,0,35,33,0,0,0,0,0,0
8,0,0,2,1,0,0,1,1,0,35,33,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
5,1,4,0,1,0,0,0,1,0,35,35,0,1,0,0,0,0
78,7,23,10,12,11,0,0,0,0,36,29,1,1,1,1,1,1
22,1,3,1,2,0,0,0,0,0,35,29,0,0,0,0,1,0
28,2,0,0,6,14,0,1,1,1,36,36,1,0,1,0,0,1
11,0,1,2,2,1,0,0,1,1,36,30,0,0,0,0,0,0
27,0,1,1,0,0,0,1,1,0,36,29,0,0,0,0,0,0
8,0,1,1,0,0,0,0,1,0,36,36,0,0,0,0,0,0
90,8,31,9,12,2,0,1,0,0,36,26,1,1,1,1,1,1
0,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
149,8,91,37,32,7,0,1,1,0,37,32,1,1,1,1,1,1
5,0,0,0,0,0,0,1,1,0,36,36,0,0,0,0,0,0
